Experiment,System,Region,SubjectID,Condition,Hemisphere,Effect_Size,Modality,Task
Experiment1,MD,LH_postParietal,556_FED_20170316b_3T2,S,L,-0.194764,visual,passive
Experiment1,MD,LH_postParietal,557_FED_20170317a_3T2,S,L,-0.166927,visual,passive
Experiment1,MD,LH_postParietal,558_FED_20170320a_3T2,S,L,-0.090786,visual,passive
Experiment1,MD,LH_postParietal,559_FED_20170320c_3T2,S,L,-0.149322,visual,passive
Experiment1,MD,LH_postParietal,562_FED_20170327b_3T2,S,L,-0.747058,visual,passive
Experiment1,MD,LH_postParietal,563_FED_20170327c_3T2,S,L,0.089924,visual,passive
Experiment1,MD,LH_postParietal,566_FED_20170407a_3T2,S,L,-2.074866,visual,passive
Experiment1,MD,LH_postParietal,567_FED_20170407b_3T2,S,L,0.139461,visual,passive
Experiment1,MD,LH_postParietal,568_FED_20170407c_3T2,S,L,-0.015392,visual,passive
Experiment1,MD,LH_postParietal,569_FED_20170410b_3T2,S,L,-0.101687,visual,passive
Experiment1,MD,LH_postParietal,571_FED_20170412c_3T2,S,L,-0.263938,visual,passive
Experiment1,MD,LH_postParietal,572_FED_20170413a_3T2,S,L,-0.065473,visual,passive
Experiment1,MD,LH_postParietal,573_FED_20170413b_3T2,S,L,0.025677,visual,passive
Experiment1,MD,LH_postParietal,574_FED_20170413c_3T2,S,L,-1.341254,visual,passive
Experiment1,MD,LH_postParietal,575_FED_20170414a_3T2,S,L,0.559451,visual,passive
Experiment1,MD,LH_postParietal,576_FED_20170414b_3T2,S,L,-0.110033,visual,passive
Experiment1,MD,LH_postParietal,577_FED_20170414c_3T2,S,L,-0.501574,visual,passive
Experiment1,MD,LH_postParietal,578_FED_20170414d_3T2,S,L,0.34134,visual,passive
Experiment1,MD,LH_postParietal,582_FED_20170420a_3T2,S,L,0.15253,visual,passive
Experiment1,MD,LH_postParietal,583_FED_20170420c_3T2,S,L,-0.061674,visual,passive
Experiment1,MD,LH_postParietal,584_FED_20170421a_3T2,S,L,0.013791,visual,passive
Experiment1,MD,LH_postParietal,594_FED_20170423d_3T2,S,L,-0.033641,visual,passive
Experiment1,MD,LH_postParietal,595_FED_20170425b_3T2,S,L,0.677099,visual,passive
Experiment1,MD,LH_postParietal,596_FED_20170426b_3T2,S,L,-0.244314,visual,passive
Experiment1,MD,LH_postParietal,597_FED_20170427a_3T2,S,L,-0.436129,visual,passive
Experiment1,MD,LH_postParietal,598_FED_20170428a_3T2,S,L,-0.100252,visual,passive
Experiment1,MD,LH_postParietal,599_FED_20170427c_3T2,S,L,1.19254,visual,passive
